match_id,league_id,hometeam_id,awayteam_id,hometeam_score,awayteam_score,date,match_location
74,1,4,18,3,1,2025/05/26,Brentford Stadium
75,1,4,19,1,1,2025/05/27,Brentford Stadium
76,1,4,20,3,3,2025/05/28,Brentford Stadium
77,1,5,1,5,4,2025/05/29,Brighton Stadium
78,1,5,2,3,2,2025/05/30,Brighton Stadium
79,1,5,3,4,1,2025/05/31,Brighton Stadium
80,1,5,4,3,3,2025/06/01,Brighton Stadium
81,1,5,6,3,0,2025/06/02,Brighton Stadium
82,1,5,7,1,4,2025/06/03,Brighton Stadium
83,1,5,8,2,1,2025/06/04,Brighton Stadium
84,1,5,9,0,2,2025/06/05,Brighton Stadium
85,1,5,10,3,5,2025/06/06,Brighton Stadium
86,1,5,11,0,2,2025/06/07,Brighton Stadium
87,1,5,12,1,1,2025/06/08,Brighton Stadium
88,1,5,13,4,3,2025/06/09,Brighton Stadium
89,1,5,14,1,1,2025/06/10,Brighton Stadium
90,1,5,15,2,0,2025/06/11,Brighton Stadium
91,1,5,16,1,1,2025/06/12,Brighton Stadium
92,1,5,17,0,4,2025/06/13,Brighton Stadium
93,1,5,18,0,0,2025/06/14,Brighton Stadium
94,1,5,19,0,4,2025/06/15,Brighton Stadium
95,1,5,20,0,3,2025/06/16,Brighton Stadium
96,1,6,1,1,3,2025/06/17,Chelsea Stadium
97,1,6,2,1,3,2025/06/18,Chelsea Stadium
98,1,6,3,2,2,2025/06/19,Chelsea Stadium
99,1,6,4,2,1,2025/06/20,Chelsea Stadium
100,1,6,5,5,1,2025/06/21,Chelsea Stadium
101,1,6,7,5,0,2025/06/22,Chelsea Stadium
102,1,6,8,5,2,2025/06/23,Chelsea Stadium
103,1,6,9,2,5,2025/06/24,Chelsea Stadium
104,1,6,10,4,0,2025/06/25,Chelsea Stadium
105,1,6,11,3,3,2025/06/26,Chelsea Stadium
106,1,6,12,0,3,2025/06/27,Chelsea Stadium
107,1,6,13,0,2,2025/06/28,Chelsea Stadium
108,1,6,14,2,2,2025/06/29,Chelsea Stadium
109,1,6,15,1,3,2025/06/30,Chelsea Stadium
110,1,6,16,1,2,2025/07/01,Chelsea Stadium
111,1,6,17,0,2,2025/07/02,Chelsea Stadium
112,1,6,18,0,1,2025/07/03,Chelsea Stadium
113,1,6,19,4,1,2025/07/04,Chelsea Stadium
114,1,6,20,3,5,2025/07/05,Chelsea Stadium
115,1,7,1,5,5,2025/07/06,Crystal Palace Stadium
116,1,7,2,0,1,2025/07/07,Crystal Palace Stadium
117,1,7,3,1,5,2025/07/08,Crystal Palace Stadium
118,1,7,4,2,5,2025/07/09,Crystal Palace Stadium
119,1,7,5,4,3,2025/07/10,Crystal Palace Stadium
120,1,7,6,5,1,2025/07/11,Crystal Palace Stadium
121,1,7,8,2,2,2025/07/12,Crystal Palace Stadium
122,1,7,9,5,2,2025/07/13,Crystal Palace Stadium
123,1,7,10,2,0,2025/07/14,Crystal Palace Stadium
124,1,7,11,0,5,2025/07/15,Crystal Palace Stadium
125,1,7,12,3,4,2025/07/16,Crystal Palace Stadium
126,1,7,13,1,3,2025/07/17,Crystal Palace Stadium
127,1,7,14,1,4,2025/07/18,Crystal Palace Stadium
128,1,7,15,2,3,2025/07/19,Crystal Palace Stadium
129,1,7,16,3,4,2025/07/20,Crystal Palace Stadium
130,1,7,17,4,3,2025/07/21,Crystal Palace Stadium
131,1,7,18,3,2,2025/07/22,Crystal Palace Stadium
132,1,7,19,3,3,2025/07/23,Crystal Palace Stadium
133,1,7,20,5,0,2025/07/24,Crystal Palace Stadium
134,1,8,1,5,2,2025/07/25,Everton Stadium
135,1,8,2,2,0,2025/07/26,Everton Stadium
136,1,8,3,0,4,2025/07/27,Everton Stadium
137,1,8,4,1,0,2025/07/28,Everton Stadium
138,1,8,5,2,2,2025/07/29,Everton Stadium
139,1,8,6,4,5,2025/07/30,Everton Stadium
140,1,8,7,3,1,2025/07/31,Everton Stadium
141,1,8,9,1,4,2025/08/01,Everton Stadium
142,1,8,10,5,0,2025/08/02,Everton Stadium
143,1,8,11,2,4,2025/08/03,Everton Stadium
144,1,8,12,2,0,2025/08/04,Everton Stadium
145,1,8,13,3,0,2025/08/05,Everton Stadium
146,1,8,14,1,5,2025/08/06,Everton Stadium
147,1,8,15,2,1,2025/08/07,Everton Stadium
148,1,8,16,5,1,2025/08/08,Everton Stadium
149,1,8,17,4,4,2025/08/09,Everton Stadium
150,1,8,18,2,3,2025/08/10,Everton Stadium
151,1,8,19,1,1,2025/08/11,Everton Stadium
152,1,8,20,0,1,2025/08/12,Everton Stadium
153,1,9,1,2,3,2025/08/13,Fulham Stadium
154,1,9,2,5,1,2025/08/14,Fulham Stadium
155,1,9,3,2,5,2025/08/15,Fulham Stadium
156,1,9,4,1,4,2025/08/16,Fulham Stadium
157,1,9,5,1,3,2025/08/17,Fulham Stadium
158,1,9,6,4,3,2025/08/18,Fulham Stadium
159,1,9,7,5,5,2025/08/19,Fulham Stadium
160,1,9,8,1,1,2025/08/20,Fulham Stadium
161,1,9,10,1,1,2025/08/21,Fulham Stadium
162,1,9,11,3,5,2025/08/22,Fulham Stadium
163,1,9,12,5,1,2025/08/23,Fulham Stadium
164,1,9,13,3,1,2025/08/24,Fulham Stadium
165,1,9,14,1,4,2025/08/25,Fulham Stadium
166,1,9,15,4,3,2025/08/26,Fulham Stadium
167,1,9,16,3,3,2025/08/27,Fulham Stadium
168,1,9,17,4,2,2025/08/28,Fulham Stadium
169,1,9,18,4,1,2025/08/29,Fulham Stadium
170,1,9,19,2,3,2025/08/30,Fulham Stadium
171,1,9,20,1,3,2025/08/31,Fulham Stadium
172,1,10,1,3,2,2025/09/01,Ipswich Town Stadium
173,1,10,2,4,0,2025/09/02,Ipswich Town Stadium
174,1,10,3,2,4,2025/09/03,Ipswich Town Stadium
175,1,10,4,0,0,2025/09/04,Ipswich Town Stadium
176,1,10,5,4,0,2025/09/05,Ipswich Town Stadium
177,1,10,6,4,5,2025/09/06,Ipswich Town Stadium
178,1,10,7,5,4,2025/09/07,Ipswich Town Stadium
179,1,10,8,2,4,2025/09/08,Ipswich Town Stadium
180,1,10,9,3,5,2025/09/09,Ipswich Town Stadium
181,1,10,11,5,3,2025/09/10,Ipswich Town Stadium
182,1,10,12,5,4,2025/09/11,Ipswich Town Stadium
183,1,10,13,1,5,2025/09/12,Ipswich Town Stadium
184,1,10,14,0,4,2025/09/13,Ipswich Town Stadium
185,1,10,15,3,1,2025/09/14,Ipswich Town Stadium
186,1,10,16,0,0,2025/09/15,Ipswich Town Stadium
187,1,10,17,4,4,2025/09/16,Ipswich Town Stadium
188,1,10,18,3,2,2025/09/17,Ipswich Town Stadium
189,1,10,19,4,1,2025/09/18,Ipswich Town Stadium
190,1,10,20,0,2,2025/09/19,Ipswich Town Stadium
191,1,11,1,2,2,2025/09/20,Leicester City Stadium
192,1,11,2,5,3,2025/09/21,Leicester City Stadium
193,1,11,3,0,4,2025/09/22,Leicester City Stadium
194,1,11,4,4,0,2025/09/23,Leicester City Stadium
195,1,11,5,5,4,2025/09/24,Leicester City Stadium
196,1,11,6,4,4,2025/09/25,Leicester City Stadium
197,1,11,7,5,4,2025/09/26,Leicester City Stadium
198,1,11,8,1,4,2025/09/27,Leicester City Stadium
199,1,11,9,5,2,2025/09/28,Leicester City Stadium
200,1,11,10,3,5,2025/09/29,Leicester City Stadium
201,1,11,12,3,0,2025/09/30,Leicester City Stadium
202,1,11,13,4,4,2025/10/01,Leicester City Stadium
203,1,11,14,1,3,2025/10/02,Leicester City Stadium
204,1,11,15,1,4,2025/10/03,Leicester City Stadium
205,1,11,16,2,5,2025/10/04,Leicester City Stadium
206,1,11,17,5,3,2025/10/05,Leicester City Stadium
207,1,11,18,0,3,2025/10/06,Leicester City Stadium
208,1,11,19,2,5,2025/10/07,Leicester City Stadium
209,1,11,20,5,0,2025/10/08,Leicester City Stadium
210,1,12,1,0,1,2025/10/09,Liverpool Stadium
211,1,12,2,1,3,2025/10/10,Liverpool Stadium
212,1,12,3,0,2,2025/10/11,Liverpool Stadium
213,1,12,4,4,2,2025/10/12,Liverpool Stadium
214,1,12,5,0,3,2025/10/13,Liverpool Stadium
215,1,12,6,5,1,2025/10/14,Liverpool Stadium
216,1,12,7,5,3,2025/10/15,Liverpool Stadium
217,1,12,8,5,3,2025/10/16,Liverpool Stadium
218,1,12,9,4,1,2025/10/17,Liverpool Stadium
219,1,12,10,4,3,2025/10/18,Liverpool Stadium
220,1,12,11,0,3,2025/10/19,Liverpool Stadium
221,1,12,13,5,5,2025/10/20,Liverpool Stadium
222,1,12,14,0,1,2025/10/21,Liverpool Stadium
223,1,12,15,5,3,2025/10/22,Liverpool Stadium
224,1,12,16,4,5,2025/10/23,Liverpool Stadium
225,1,12,17,2,4,2025/10/24,Liverpool Stadium
226,1,12,18,3,0,2025/10/25,Liverpool Stadium
227,1,12,19,2,1,2025/10/26,Liverpool Stadium
228,1,12,20,3,0,2025/10/27,Liverpool Stadium
229,1,13,1,3,4,2025/10/28,Manchester City Stadium
230,1,13,2,3,4,2025/10/29,Manchester City Stadium
231,1,13,3,4,3,2025/10/30,Manchester City Stadium
232,1,13,4,3,4,2025/10/31,Manchester City Stadium
233,1,13,5,1,2,2025/11/01,Manchester City Stadium
234,1,13,6,5,4,2025/11/02,Manchester City Stadium
235,1,13,7,1,3,2025/11/03,Manchester City Stadium
236,1,13,8,0,1,2025/11/04,Manchester City Stadium
237,1,13,9,0,4,2025/11/05,Manchester City Stadium
238,1,13,10,2,3,2025/11/06,Manchester City Stadium
239,1,13,11,2,0,2025/11/07,Manchester City Stadium
240,1,13,12,3,2,2025/11/08,Manchester City Stadium
241,1,13,14,2,0,2025/11/09,Manchester City Stadium
242,1,13,15,4,3,2025/11/10,Manchester City Stadium
243,1,13,16,2,2,2025/11/11,Manchester City Stadium
244,1,13,17,3,5,2025/11/12,Manchester City Stadium
245,1,13,18,2,0,2025/11/13,Manchester City Stadium
246,1,13,19,4,3,2025/11/14,Manchester City Stadium
247,1,13,20,3,5,2025/11/15,Manchester City Stadium
248,1,14,1,3,0,2025/11/16,Manchester United Stadium
249,1,14,2,5,5,2025/11/17,Manchester United Stadium
250,1,14,3,1,2,2025/11/18,Manchester United Stadium
251,1,14,4,0,5,2025/11/19,Manchester United Stadium
252,1,14,5,5,4,2025/11/20,Manchester United Stadium
253,1,14,6,1,1,2025/11/21,Manchester United Stadium
254,1,14,7,1,4,2025/11/22,Manchester United Stadium
255,1,14,8,0,3,2025/11/23,Manchester United Stadium
256,1,14,9,4,4,2025/11/24,Manchester United Stadium
257,1,14,10,4,3,2025/11/25,Manchester United Stadium
258,1,14,11,3,4,2025/11/26,Manchester United Stadium
259,1,14,12,1,1,2025/11/27,Manchester United Stadium
260,1,14,13,1,5,2025/11/28,Manchester United Stadium
261,1,14,15,2,3,2025/11/29,Manchester United Stadium
262,1,14,16,0,5,2025/11/30,Manchester United Stadium
263,1,14,17,1,4,2025/12/01,Manchester United Stadium
264,1,14,18,2,4,2025/12/02,Manchester United Stadium
265,1,14,19,2,5,2025/12/03,Manchester United Stadium
266,1,14,20,0,1,2025/12/04,Manchester United Stadium
267,1,15,1,1,2,2025/12/05,Newcastle Stadium
268,1,15,2,5,2,2025/12/06,Newcastle Stadium
269,1,15,3,3,5,2025/12/07,Newcastle Stadium
270,1,15,4,5,0,2025/12/08,Newcastle Stadium
271,1,15,5,3,0,2025/12/09,Newcastle Stadium
272,1,15,6,2,4,2025/12/10,Newcastle Stadium
273,1,15,7,1,5,2025/12/11,Newcastle Stadium
274,1,15,8,4,4,2025/12/12,Newcastle Stadium
275,1,15,9,0,1,2025/12/13,Newcastle Stadium
276,1,15,10,4,4,2025/12/14,Newcastle Stadium
277,1,15,11,3,5,2025/12/15,Newcastle Stadium
278,1,15,12,1,5,2025/12/16,Newcastle Stadium
279,1,15,13,1,2,2025/12/17,Newcastle Stadium
280,1,15,14,4,2,2025/12/18,Newcastle Stadium
281,1,15,16,4,1,2025/12/19,Newcastle Stadium
282,1,15,17,5,1,2025/12/20,Newcastle Stadium
283,1,15,18,0,5,2025/12/21,Newcastle Stadium
284,1,15,19,2,2,2025/12/22,Newcastle Stadium
285,1,15,20,5,4,2025/12/23,Newcastle Stadium
286,1,16,1,4,5,2025/12/24,Nottingham Stadium
287,1,16,2,2,5,2025/12/25,Nottingham Stadium
288,1,16,3,4,5,2025/12/26,Nottingham Stadium
289,1,16,4,1,0,2025/12/27,Nottingham Stadium
290,1,16,5,4,4,2025/12/28,Nottingham Stadium
291,1,16,6,4,3,2025/12/29,Nottingham Stadium
292,1,16,7,2,5,2025/12/30,Nottingham Stadium
293,1,16,8,5,0,2025/12/31,Nottingham Stadium
294,1,16,9,5,0,2026/01/01,Nottingham Stadium
295,1,16,10,4,5,2026/01/02,Nottingham Stadium
296,1,16,11,0,0,2026/01/03,Nottingham Stadium
297,1,16,12,1,2,2026/01/04,Nottingham Stadium
298,1,16,13,5,4,2026/01/05,Nottingham Stadium
299,1,16,14,1,3,2026/01/06,Nottingham Stadium
300,1,16,15,5,0,2026/01/07,Nottingham Stadium
301,1,16,17,2,5,2026/01/08,Nottingham Stadium
302,1,16,18,2,4,2026/01/09,Nottingham Stadium
303,1,16,19,5,0,2026/01/10,Nottingham Stadium
304,1,16,20,1,2,2026/01/11,Nottingham Stadium
305,1,17,1,5,4,2026/01/12,Southampton Stadium
306,1,17,2,4,0,2026/01/13,Southampton Stadium
307,1,17,3,2,2,2026/01/14,Southampton Stadium
308,1,17,4,1,1,2026/01/15,Southampton Stadium
309,1,17,5,4,1,2026/01/16,Southampton Stadium
310,1,17,6,2,0,2026/01/17,Southampton Stadium
311,1,17,7,1,2,2026/01/18,Southampton Stadium
312,1,17,8,5,5,2026/01/19,Southampton Stadium
313,1,17,9,0,5,2026/01/20,Southampton Stadium
314,1,17,10,2,1,2026/01/21,Southampton Stadium
315,1,17,11,2,4,2026/01/22,Southampton Stadium
316,1,17,12,5,1,2026/01/23,Southampton Stadium
317,1,17,13,5,4,2026/01/24,Southampton Stadium
318,1,17,14,2,0,2026/01/25,Southampton Stadium
319,1,17,15,5,2,2026/01/26,Southampton Stadium
320,1,17,16,0,3,2026/01/27,Southampton Stadium
321,1,17,18,0,5,2026/01/28,Southampton Stadium
322,1,17,19,2,3,2026/01/29,Southampton Stadium
323,1,17,20,2,0,2026/01/30,Southampton Stadium
324,1,18,1,1,5,2026/01/31,Tottenham Stadium
325,1,18,2,0,0,2026/02/01,Tottenham Stadium
326,1,18,3,2,2,2026/02/02,Tottenham Stadium
327,1,18,4,2,2,2026/02/03,Tottenham Stadium
328,1,18,5,4,3,2026/02/04,Tottenham Stadium
329,1,18,6,0,4,2026/02/05,Tottenham Stadium
330,1,18,7,2,4,2026/02/06,Tottenham Stadium
331,1,18,8,4,3,2026/02/07,Tottenham Stadium
332,1,18,9,3,4,2026/02/08,Tottenham Stadium
333,1,18,10,3,5,2026/02/09,Tottenham Stadium
334,1,18,11,5,1,2026/02/10,Tottenham Stadium
335,1,18,12,0,5,2026/02/11,Tottenham Stadium
336,1,18,13,2,2,2026/02/12,Tottenham Stadium
337,1,18,14,2,3,2026/02/13,Tottenham Stadium
338,1,18,15,4,3,2026/02/14,Tottenham Stadium
339,1,18,16,1,4,2026/02/15,Tottenham Stadium
340,1,18,17,3,1,2026/02/16,Tottenham Stadium
341,1,18,19,3,2,2026/02/17,Tottenham Stadium
342,1,18,20,2,3,2026/02/18,Tottenham Stadium
343,1,19,1,0,5,2026/02/19,West Ham Stadium
344,1,19,2,5,2,2026/02/20,West Ham Stadium
345,1,19,3,0,2,2026/02/21,West Ham Stadium
346,1,19,4,2,3,2026/02/22,West Ham Stadium
347,1,19,5,2,2,2026/02/23,West Ham Stadium
348,1,19,6,2,4,2026/02/24,West Ham Stadium
349,1,19,7,0,4,2026/02/25,West Ham Stadium
350,1,19,8,2,0,2026/02/26,West Ham Stadium
351,1,19,9,2,0,2026/02/27,West Ham Stadium
352,1,19,10,4,0,2026/02/28,West Ham Stadium
353,1,19,11,2,0,2026/03/01,West Ham Stadium
354,1,19,12,2,5,2026/03/02,West Ham Stadium
355,1,19,13,3,3,2026/03/03,West Ham Stadium
356,1,19,14,1,2,2026/03/04,West Ham Stadium
357,1,19,15,3,1,2026/03/05,West Ham Stadium
358,1,19,16,1,5,2026/03/06,West Ham Stadium
359,1,19,17,2,5,2026/03/07,West Ham Stadium
360,1,19,18,2,0,2026/03/08,West Ham Stadium
361,1,19,20,5,5,2026/03/09,West Ham Stadium
362,1,20,1,3,4,2026/03/10,Wolves Stadium
363,1,20,2,3,3,2026/03/11,Wolves Stadium
364,1,20,3,0,3,2026/03/12,Wolves Stadium
365,1,20,4,1,0,2026/03/13,Wolves Stadium
366,1,20,5,1,5,2026/03/14,Wolves Stadium
367,1,20,6,1,2,2026/03/15,Wolves Stadium
368,1,20,7,4,2,2026/03/16,Wolves Stadium
369,1,20,8,4,5,2026/03/17,Wolves Stadium
370,1,20,9,0,1,2026/03/18,Wolves Stadium
371,1,20,10,5,2,2026/03/19,Wolves Stadium
372,1,20,11,2,4,2026/03/20,Wolves Stadium
373,1,20,12,0,2,2026/03/21,Wolves Stadium
374,1,20,13,0,4,2026/03/22,Wolves Stadium
375,1,20,14,3,2,2026/03/23,Wolves Stadium
376,1,20,15,0,2,2026/03/24,Wolves Stadium
377,1,20,16,2,1,2026/03/25,Wolves Stadium
378,1,20,17,4,0,2026/03/26,Wolves Stadium
379,1,20,18,4,1,2026/03/27,Wolves Stadium
380,1,20,19,3,4,2026/03/28,Wolves Stadium
381,2,21,22,3,1,2026/03/29,Deportivo Alavés Stadium
382,2,21,23,3,2,2026/03/30,Deportivo Alavés Stadium
383,2,21,24,3,5,2026/03/31,Deportivo Alavés Stadium
384,2,21,25,3,1,2026/04/01,Deportivo Alavés Stadium
385,2,21,26,2,1,2026/04/02,Deportivo Alavés Stadium
386,2,21,27,0,5,2026/04/03,Deportivo Alavés Stadium
387,2,21,28,4,3,2026/04/04,Deportivo Alavés Stadium
388,2,21,29,4,4,2026/04/05,Deportivo Alavés Stadium
389,2,21,30,1,0,2026/04/06,Deportivo Alavés Stadium
390,2,21,31,3,2,2026/04/07,Deportivo Alavés Stadium
391,2,21,32,3,0,2026/04/08,Deportivo Alavés Stadium
392,2,21,33,4,2,2026/04/09,Deportivo Alavés Stadium
393,2,21,34,2,4,2026/04/10,Deportivo Alavés Stadium
394,2,21,35,3,2,2026/04/11,Deportivo Alavés Stadium
395,2,21,36,4,0,2026/04/12,Deportivo Alavés Stadium
396,2,21,37,5,5,2026/04/13,Deportivo Alavés Stadium
397,2,21,38,3,3,2026/04/14,Deportivo Alavés Stadium
398,2,21,39,3,4,2026/04/15,Deportivo Alavés Stadium
399,2,21,40,2,0,2026/04/16,Deportivo Alavés Stadium
400,2,22,21,1,3,2026/04/17,Athletic Bilbao Stadium
401,2,22,23,5,5,2026/04/18,Athletic Bilbao Stadium
402,2,22,24,2,4,2026/04/19,Athletic Bilbao Stadium
403,2,22,25,5,5,2026/04/20,Athletic Bilbao Stadium
404,2,22,26,1,5,2026/04/21,Athletic Bilbao Stadium
405,2,22,27,2,0,2026/04/22,Athletic Bilbao Stadium
406,2,22,28,2,3,2026/04/23,Athletic Bilbao Stadium
407,2,22,29,5,5,2026/04/24,Athletic Bilbao Stadium
408,2,22,30,1,2,2026/04/25,Athletic Bilbao Stadium
409,2,22,31,1,3,2026/04/26,Athletic Bilbao Stadium
410,2,22,32,5,3,2026/04/27,Athletic Bilbao Stadium
411,2,22,33,4,0,2026/04/28,Athletic Bilbao Stadium
412,2,22,34,5,0,2026/04/29,Athletic Bilbao Stadium
413,2,22,35,3,5,2026/04/30,Athletic Bilbao Stadium
414,2,22,36,2,0,2026/05/01,Athletic Bilbao Stadium
415,2,22,37,2,2,2026/05/02,Athletic Bilbao Stadium
416,2,22,38,5,2,2026/05/03,Athletic Bilbao Stadium
417,2,22,39,1,1,2026/05/04,Athletic Bilbao Stadium
418,2,22,40,5,3,2026/05/05,Athletic Bilbao Stadium
419,2,23,21,0,1,2026/05/06,Atlético Madrid Stadium
420,2,23,22,4,1,2026/05/07,Atlético Madrid Stadium
421,2,23,24,4,0,2026/05/08,Atlético Madrid Stadium
422,2,23,25,4,2,2026/05/09,Atlético Madrid Stadium
423,2,23,26,0,1,2026/05/10,Atlético Madrid Stadium
424,2,23,27,0,4,2026/05/11,Atlético Madrid Stadium
425,2,23,28,2,2,2026/05/12,Atlético Madrid Stadium
426,2,23,29,0,2,2026/05/13,Atlético Madrid Stadium
427,2,23,30,1,2,2026/05/14,Atlético Madrid Stadium
428,2,23,31,2,2,2026/05/15,Atlético Madrid Stadium
429,2,23,32,0,5,2026/05/16,Atlético Madrid Stadium
430,2,23,33,1,0,2026/05/17,Atlético Madrid Stadium
431,2,23,34,1,5,2026/05/18,Atlético Madrid Stadium
432,2,23,35,3,5,2026/05/19,Atlético Madrid Stadium
433,2,23,36,4,4,2026/05/20,Atlético Madrid Stadium
434,2,23,37,1,3,2026/05/21,Atlético Madrid Stadium
435,2,23,38,5,4,2026/05/22,Atlético Madrid Stadium
436,2,23,39,1,4,2026/05/23,Atlético Madrid Stadium
437,2,23,40,3,3,2026/05/24,Atlético Madrid Stadium
438,2,24,21,5,4,2026/05/25,FC Barcelona Stadium
439,2,24,22,5,5,2026/05/26,FC Barcelona Stadium
440,2,24,23,4,3,2026/05/27,FC Barcelona Stadium
441,2,24,25,3,2,2026/05/28,FC Barcelona Stadium
442,2,24,26,0,5,2026/05/29,FC Barcelona Stadium
443,2,24,27,3,4,2026/05/30,FC Barcelona Stadium
444,2,24,28,1,1,2026/05/31,FC Barcelona Stadium
445,2,24,29,0,5,2026/06/01,FC Barcelona Stadium
446,2,24,30,2,2,2026/06/02,FC Barcelona Stadium
447,2,24,31,0,2,2026/06/03,FC Barcelona Stadium
448,2,24,32,5,1,2026/06/04,FC Barcelona Stadium
449,2,24,33,2,2,2026/06/05,FC Barcelona Stadium
450,2,24,34,1,5,2026/06/06,FC Barcelona Stadium
451,2,24,35,0,5,2026/06/07,FC Barcelona Stadium
452,2,24,36,5,5,2026/06/08,FC Barcelona Stadium
453,2,24,37,3,4,2026/06/09,FC Barcelona Stadium
454,2,24,38,1,0,2026/06/10,FC Barcelona Stadium
455,2,24,39,1,2,2026/06/11,FC Barcelona Stadium
456,2,24,40,2,0,2026/06/12,FC Barcelona Stadium
457,2,25,21,5,0,2026/06/13,Celta Vigo Stadium
458,2,25,22,0,4,2026/06/14,Celta Vigo Stadium
459,2,25,23,0,4,2026/06/15,Celta Vigo Stadium
460,2,25,24,5,1,2026/06/16,Celta Vigo Stadium
461,2,25,26,5,3,2026/06/17,Celta Vigo Stadium
462,2,25,27,5,2,2026/06/18,Celta Vigo Stadium
463,2,25,28,5,2,2026/06/19,Celta Vigo Stadium
464,2,25,29,0,1,2026/06/20,Celta Vigo Stadium
465,2,25,30,1,4,2026/06/21,Celta Vigo Stadium
466,2,25,31,3,2,2026/06/22,Celta Vigo Stadium
467,2,25,32,4,0,2026/06/23,Celta Vigo Stadium
468,2,25,33,5,3,2026/06/24,Celta Vigo Stadium
469,2,25,34,2,2,2026/06/25,Celta Vigo Stadium
470,2,25,35,4,4,2026/06/26,Celta Vigo Stadium
471,2,25,36,0,1,2026/06/27,Celta Vigo Stadium
