match_id,player_id,goal,pass_acc,assist,playtime
26,506,3,79.16,0,90
39,485,3,89.55,1,90
13,392,3,80.51,1,90
3,199,0,98.2,2,90
35,37,0,78.44,2,90
24,60,3,89.16,1,90
28,264,2,92.79,1,90
35,373,3,99.03,0,90
11,286,3,96.66,2,90
26,401,1,62.08,1,90
28,137,2,75.02,1,90
20,25,3,62.24,2,90
8,148,3,84.61,2,90
25,249,0,78.66,1,90
26,490,3,92.07,0,90
31,68,0,64.92,1,90
33,476,2,63.31,2,90
25,427,0,79.42,0,90
13,348,0,84.02,0,90
39,435,2,93.5,1,90
37,309,3,82.24,1,90
3,236,0,98.67,0,90
34,188,2,86.15,2,90
8,469,0,89.79,0,90
36,311,2,97.61,1,90
23,225,0,64.32,1,90
29,122,3,73.95,2,90
17,398,3,97.34,1,90
17,382,3,80.73,0,90
9,50,0,87.32,0,90
12,515,0,98.89,0,90
13,176,0,81.37,1,90
11,486,1,74.21,0,90
18,188,1,91.68,0,90
32,181,0,63.03,2,90
24,144,0,74.8,2,90
3,170,2,82.18,0,90
24,196,1,62.66,2,90
12,57,1,78.75,0,90
5,381,2,88.92,0,90
25,284,2,65.82,0,90
14,292,2,67.89,1,90
39,125,1,87.66,0,90
18,353,2,88.37,1,90
24,511,3,86.27,0,90
11,134,1,91.3,1,90
36,506,3,71.78,1,90
37,67,0,84.72,1,90
7,140,0,86.03,0,90
7,260,2,89.65,2,90
32,139,0,98.73,2,90
39,411,2,81.29,2,90
2,165,3,90.33,1,90
29,154,0,83.0,0,90
1,444,3,79.11,2,90
18,134,1,82.51,1,90
14,471,3,92.77,1,90
16,125,2,73.85,2,90
3,198,2,84.67,1,90
33,523,0,98.62,1,90
2,326,2,81.29,2,90
20,170,0,66.33,0,90
26,180,1,87.41,1,90
17,316,2,82.03,2,90
8,410,2,68.56,2,90
37,186,2,97.41,2,90
15,15,2,72.99,1,90
20,377,3,66.09,2,90
4,163,3,78.01,0,90
8,486,0,82.19,0,90
30,89,0,87.04,1,90
29,244,3,69.38,0,90
16,423,1,72.54,1,90
17,293,0,76.68,0,90
8,406,1,88.13,1,90
21,484,3,68.25,2,90
28,44,2,78.97,0,90
4,144,3,67.17,2,90
17,214,3,66.66,2,90
6,30,2,83.56,1,90
39,243,1,87.77,1,90
9,471,0,67.27,1,90
12,431,2,65.71,1,90
20,523,3,62.49,0,90
15,290,0,61.31,2,90
27,64,1,75.89,1,90
38,356,3,71.99,0,90
5,68,1,61.37,1,90
37,437,1,89.76,1,90
22,159,0,89.97,2,90
19,525,2,86.4,1,90
27,522,0,74.81,1,90
12,487,0,93.46,0,90
30,58,3,72.05,1,90
3,32,2,98.3,2,90
39,188,1,68.44,2,90
30,36,2,83.29,1,90
10,297,0,68.68,1,90
13,513,1,60.05,0,90
3,290,0,79.58,0,90
17,168,1,71.92,0,90
14,414,1,75.77,0,90
8,73,0,70.71,0,90
14,51,3,68.46,1,90
33,528,3,95.33,1,90
3,127,1,69.55,2,90
6,93,0,75.78,0,90
11,195,1,91.43,2,90
16,412,3,92.35,2,90
31,8,1,61.31,0,90
9,397,0,69.6,0,90
40,262,0,99.44,2,90
33,441,1,67.11,0,90
11,387,0,95.84,0,90
17,334,0,83.24,1,90
22,31,1,63.22,0,90
11,426,2,82.38,0,90
39,331,0,64.79,0,90
8,134,2,70.89,0,90
1,124,0,93.69,1,90
22,174,0,97.96,0,90
40,405,2,68.46,0,90
12,28,0,93.55,1,90
14,273,0,66.87,1,90
16,507,2,88.34,1,90
11,296,2,85.37,0,90
40,175,1,90.65,0,90
37,39,2,82.14,2,90
10,206,0,78.25,0,90
36,505,1,66.5,2,90
16,26,3,68.23,0,90
9,100,1,96.9,1,90
31,380,3,71.19,1,90
7,361,0,64.91,0,90
5,291,1,70.44,1,90
34,444,3,66.78,2,90
17,73,0,94.92,2,90
25,9,2,71.08,0,90
33,78,1,97.53,0,90
27,498,0,88.83,1,90
3,426,0,75.55,2,90
3,287,0,73.14,0,90
9,286,2,63.57,0,90
3,393,0,93.23,1,90
32,15,1,71.09,2,90
11,512,2,67.6,2,90
40,410,3,90.19,0,90
15,414,1,96.08,0,90
27,311,0,98.96,0,90
11,206,2,74.34,2,90
3,30,1,88.28,0,90
12,215,0,99.31,2,90
3,44,2,64.59,0,90
37,150,3,92.52,1,90
24,499,1,61.78,0,90
11,348,3,92.71,1,90
6,344,1,77.37,2,90
5,399,1,74.54,2,90
33,117,2,87.8,1,90
30,18,3,92.53,0,90
5,263,2,70.36,0,90
39,319,3,81.43,1,90
16,188,1,83.97,0,90
19,111,2,89.47,0,90
36,181,3,66.25,1,90
1,462,2,66.72,0,90
9,118,0,81.88,2,90
16,266,3,72.2,2,90
18,29,3,79.79,2,90
4,96,1,61.42,2,90
17,299,3,97.11,0,90
24,261,2,68.06,2,90
6,88,3,78.26,2,90
7,177,2,84.3,1,90
12,528,3,75.09,0,90
30,62,3,75.17,0,90
30,92,1,60.35,2,90
7,415,1,75.54,1,90
14,268,3,88.03,2,90
8,471,0,97.36,2,90
7,487,3,83.8,0,90
15,394,1,95.58,0,90
13,85,1,75.76,0,90
20,254,1,67.58,2,90
18,405,3,66.03,1,90
15,176,3,84.55,1,90
26,116,0,80.12,0,90
40,181,2,65.78,1,90
1,107,3,74.09,2,90
37,463,2,78.99,2,90
32,38,0,82.04,0,90
23,228,3,83.42,0,90
1,175,3,97.5,1,90
5,220,0,65.55,2,90
34,54,2,97.55,2,90
20,207,3,78.26,1,90
19,340,3,70.97,1,90
21,324,3,84.89,1,90
6,70,0,69.07,0,90
14,493,0,94.44,1,90
12,95,0,80.73,0,90
3,80,1,75.45,2,90
17,522,0,99.39,0,90
11,286,2,69.49,1,90
36,287,3,74.59,2,90
9,28,2,97.48,1,90
7,137,0,87.13,0,90
27,273,2,83.03,0,90
3,92,2,70.15,2,90
19,38,3,83.4,0,90
39,282,0,66.23,0,90
34,123,3,83.93,1,90
16,212,0,98.48,2,90
27,82,2,94.87,0,90
12,479,2,98.93,0,90
31,320,0,86.29,0,90
7,267,3,85.4,2,90
30,27,0,84.42,0,90
34,191,2,62.9,0,90
9,159,0,95.81,0,90
3,92,1,79.18,2,90
31,84,1,90.03,0,90
13,342,3,71.19,1,90
29,419,3,68.31,1,90
8,373,0,85.0,1,90
29,196,1,60.9,0,90
22,78,1,63.59,2,90
11,508,3,70.06,0,90
2,27,1,98.5,2,90
4,63,2,77.19,0,90
34,466,1,68.6,0,90
27,412,2,88.34,2,90
38,240,1,92.92,1,90
30,90,1,60.49,0,90
31,93,1,71.88,0,90
36,282,3,99.36,2,90
21,274,0,84.75,0,90
19,355,1,91.49,0,90
38,256,3,85.3,1,90
6,23,2,88.65,2,90
19,414,1,86.79,2,90
35,16,3,93.25,1,90
21,501,0,81.45,0,90
10,438,0,64.03,0,90
28,468,1,74.64,2,90
4,455,2,78.49,0,90
10,496,2,99.09,2,90
21,205,2,75.1,2,90
20,185,0,78.9,1,90
19,131,1,87.18,1,90
10,518,2,71.94,1,90
3,240,0,60.21,0,90
25,14,3,94.31,0,90
4,160,2,97.37,2,90
10,229,2,67.5,2,90
37,212,1,73.96,0,90
29,184,2,88.56,1,90
32,436,0,95.64,2,90
27,386,3,82.05,0,90
8,180,1,67.44,0,90
13,354,2,82.94,1,90
32,185,1,82.05,0,90
39,515,2,87.11,1,90
16,168,2,75.78,2,90
11,396,0,68.2,1,90
28,459,2,80.87,2,90
34,475,2,75.39,0,90
17,210,3,89.7,2,90
22,493,0,91.85,0,90
15,500,2,95.27,1,90
4,444,1,64.46,1,90
7,223,1,99.83,1,90
14,293,1,90.0,1,90
35,67,0,92.15,0,90
30,6,3,94.74,0,90
1,473,0,78.69,1,90
31,153,3,66.76,2,90
11,393,3,68.63,0,90
22,211,0,68.91,0,90
38,453,3,81.56,1,90
23,257,2,64.54,2,90
36,176,0,98.45,0,90
1,306,0,67.99,1,90
5,199,0,76.39,1,90
21,407,0,68.04,1,90
9,436,2,77.11,1,90
37,23,0,77.92,1,90
14,339,1,74.99,1,90
4,20,1,93.96,2,90
3,330,3,98.02,0,90
30,512,0,83.51,1,90
10,421,2,62.13,1,90
38,222,0,90.15,1,90
7,336,3,85.88,1,90
1,293,3,74.44,0,90
24,211,0,69.68,2,90
14,265,3,81.81,2,90
34,12,2,66.51,0,90
35,526,0,68.63,2,90
27,236,0,68.13,2,90
11,143,2,82.17,2,90
31,386,3,76.43,1,90
24,496,2,95.24,1,90
36,473,1,66.59,2,90
40,170,3,66.79,0,90
18,424,3,79.56,1,90
9,131,3,75.44,1,90
37,211,3,80.14,1,90
13,342,1,72.76,2,90
1,395,0,75.81,2,90
18,59,2,63.51,0,90
19,129,0,85.9,0,90
9,112,3,81.24,1,90
29,214,1,86.4,0,90
35,382,2,80.35,1,90
34,415,2,99.48,2,90
7,488,0,80.35,1,90
26,512,1,70.2,1,90
3,494,1,80.81,0,90
7,408,2,76.57,0,90
8,197,3,81.64,2,90
18,146,0,72.69,1,90
9,219,0,70.2,0,90
40,525,3,98.88,1,90
39,5,3,97.95,0,90
35,373,2,62.89,2,90
23,264,0,91.83,2,90
19,306,1,98.68,1,90
36,506,0,74.33,1,90
28,325,3,97.75,0,90
24,338,1,88.43,0,90
25,288,1,68.91,2,90
36,528,2,83.82,2,90
18,369,1,84.62,1,90
40,374,3,78.35,0,90
33,305,3,96.49,1,90
16,411,3,99.25,0,90
40,484,0,61.92,2,90
17,294,1,64.21,0,90
12,476,1,67.09,2,90
34,467,3,64.0,0,90
14,169,0,64.33,2,90
3,409,2,75.07,1,90
24,289,2,81.12,0,90
18,163,0,66.07,0,90
27,431,0,95.14,0,90
16,249,3,76.97,0,90
19,119,3,93.33,0,90
26,279,0,79.24,1,90
38,258,2,74.07,2,90
16,277,3,97.77,2,90
16,505,2,60.73,2,90
17,248,1,74.22,1,90
8,489,1,97.73,2,90
6,154,0,85.65,0,90
3,39,2,87.33,2,90
5,19,3,64.48,2,90
20,457,3,61.89,0,90
30,16,0,97.77,2,90
18,29,1,82.95,0,90
4,127,2,87.5,0,90
24,199,2,69.15,2,90
31,237,1,78.97,0,90
28,296,1,95.0,2,90
1,387,1,64.33,0,90
4,168,0,96.6,2,90
35,86,2,64.57,1,90
34,226,2,82.55,1,90
33,333,1,71.27,2,90
34,199,2,85.23,1,90
38,466,0,98.72,0,90
27,159,3,68.06,1,90
34,371,1,81.82,0,90
2,206,3,60.45,2,90
37,300,0,98.61,2,90
31,145,0,78.47,2,90
10,99,1,60.48,2,90
19,356,1,87.51,0,90
9,437,1,70.96,1,90
22,35,1,68.47,1,90
37,339,1,89.05,1,90
14,24,0,86.34,2,90
6,78,1,84.3,2,90
18,85,3,92.52,1,90
18,472,0,97.01,1,90
40,492,0,89.59,0,90
11,395,1,75.25,2,90
20,309,1,70.39,1,90
3,307,0,69.28,2,90
33,201,2,90.16,0,90
15,267,2,83.25,1,90
18,253,0,75.09,0,90
17,188,3,79.25,2,90
9,91,1,82.52,0,90
10,508,1,93.54,1,90
33,221,0,98.49,0,90
14,195,3,90.47,0,90
29,170,0,65.4,2,90
38,450,0,92.96,0,90
13,212,1,67.07,0,90
14,208,2,71.59,0,90
40,517,1,65.53,1,90
26,169,1,89.82,0,90
3,298,1,65.95,0,90
25,206,3,92.6,0,90
1,87,2,83.05,1,90
27,33,3,95.74,2,90
40,121,2,77.14,1,90
18,398,3,99.34,1,90
5,140,3,86.08,2,90
30,246,3,77.52,1,90
11,44,1,72.86,0,90
16,465,3,86.26,0,90
21,319,3,99.81,2,90
33,423,1,92.71,2,90
35,408,1,76.01,0,90
8,310,2,74.8,0,90
6,107,2,74.0,1,90
29,321,3,70.52,0,90
16,67,1,75.08,1,90
15,158,3,93.83,2,90
33,263,0,80.31,0,90
34,52,0,65.41,2,90
30,149,1,99.27,0,90
13,306,1,79.14,0,90
7,121,3,66.77,1,90
21,166,1,98.45,1,90
23,173,1,99.62,2,90
7,417,2,92.51,0,90
23,41,3,62.93,1,90
3,115,0,74.67,2,90
14,114,1,84.84,1,90
31,520,2,73.25,2,90
19,228,3,78.15,2,90
3,268,1,80.22,2,90
28,388,1,70.01,2,90
20,306,0,62.6,0,90
14,301,1,66.4,2,90
39,164,1,96.07,2,90
15,409,3,80.09,2,90
25,82,0,65.03,0,90
3,81,2,77.93,2,90
32,417,2,80.88,2,90
9,277,2,84.34,1,90
2,44,1,80.18,1,90
17,62,2,93.56,0,90
5,251,1,64.97,1,90
37,498,2,65.22,2,90
34,246,2,61.62,1,90
38,76,2,89.09,2,90
36,386,0,71.31,1,90
26,188,1,74.85,2,90
12,294,3,80.44,0,90
28,352,1,72.15,0,90
40,521,2,97.64,2,90
1,6,3,72.53,2,90
5,317,2,65.74,2,90
10,289,0,91.27,0,90
34,129,3,88.83,1,90
6,391,3,80.86,0,90
9,191,0,74.43,2,90
8,177,1,77.41,2,90
17,237,3,70.28,0,90
6,190,1,66.66,2,90
16,403,0,79.3,2,90
21,34,0,74.7,0,90
26,178,0,68.71,1,90
30,190,2,86.06,0,90
2,285,1,66.41,1,90
24,134,1,99.34,2,90
10,427,2,87.45,0,90
2,3,1,85.42,2,90
17,424,0,97.77,2,90
36,161,1,95.49,0,90
11,8,3,74.57,2,90
2,410,1,87.12,1,90
17,145,2,77.92,1,90
13,147,1,67.74,2,90
18,116,0,95.72,1,90
10,100,3,91.19,1,90
8,94,1,60.04,2,90
35,38,1,85.1,0,90
3,402,0,73.5,0,90
31,423,1,99.28,1,90
16,269,0,97.26,0,90
8,394,3,79.02,2,90
2,245,2,75.2,0,90
7,216,3,99.64,0,90
14,201,3,94.72,2,90
12,113,2,73.45,2,90
17,453,2,77.56,1,90
8,197,0,82.26,1,90
20,109,1,73.9,0,90
17,131,1,93.5,1,90
34,243,2,78.43,1,90
31,281,0,92.08,2,90
9,260,3,62.28,1,90
18,247,2,83.66,0,90
14,185,2,87.32,2,90
27,132,3,75.52,0,90
26,370,3,97.17,2,90
15,434,1,96.42,2,90
31,114,3,93.9,0,90
29,449,1,91.97,0,90
8,185,0,68.35,0,90
39,417,3,96.46,2,90
26,295,2,74.06,2,90
23,110,0,68.42,0,90
10,202,2,88.59,1,90
35,18,0,77.22,1,90
17,453,0,84.62,0,90
1,459,1,78.76,2,90
13,310,3,62.19,2,90
6,250,2,63.68,0,90
33,404,0,84.88,1,90
31,406,0,87.66,0,90
19,523,2,92.51,1,90
32,202,1,79.17,0,90
3,267,0,89.45,1,90
9,129,3,77.72,0,90
20,27,0,74.07,2,90
40,54,2,70.52,2,90
25,248,2,63.82,1,90
33,56,2,67.45,0,90
4,127,3,83.31,0,90
40,213,0,92.39,1,90
30,257,0,73.96,1,90
3,106,2,87.68,1,90
4,521,1,95.29,2,90
5,432,0,74.13,2,90
15,127,1,94.35,2,90
13,501,2,95.33,2,90
19,281,2,74.79,2,90
35,393,2,63.36,2,90
23,53,0,84.51,1,90
33,177,2,89.18,0,90
36,223,0,87.3,2,90
35,119,2,99.45,1,90
28,201,0,82.21,2,90
21,371,0,60.61,0,90
36,425,0,65.76,2,90
36,171,1,95.94,0,90
26,481,0,69.35,2,90
33,501,2,95.58,2,90
30,319,0,83.68,0,90
13,322,1,70.84,0,90
15,21,1,71.51,0,90
12,43,1,72.81,2,90
37,295,0,60.06,0,90
4,183,0,98.17,1,90
24,136,0,75.94,2,90
32,321,3,87.14,2,90
25,102,0,82.99,0,90
26,492,0,72.85,2,90
14,33,2,77.29,2,90
18,263,0,80.76,0,90
32,27,0,61.41,1,90
7,355,3,91.96,1,90
9,319,2,82.62,2,90
3,351,0,82.61,0,90
5,89,1,90.03,2,90
1,352,1,99.74,2,90
12,229,3,90.84,2,90
24,406,2,61.93,1,90
33,136,1,63.5,1,90
4,241,0,71.48,1,90
25,156,3,94.3,1,90
32,233,1,96.58,2,90
13,99,0,75.97,1,90
7,341,2,77.0,2,90
5,519,3,93.66,1,90
40,26,1,69.92,0,90
15,16,3,77.37,1,90
12,51,3,86.57,1,90
35,277,0,90.76,0,90
24,334,1,89.47,0,90
34,414,3,87.23,1,90
28,339,0,64.44,0,90
29,341,2,72.31,1,90
36,483,1,65.16,1,90
18,304,1,69.82,0,90
7,74,2,82.25,2,90
28,284,2,83.68,2,90
38,158,0,85.92,1,90
22,54,2,66.31,2,90
38,423,2,99.83,1,90
16,308,1,90.52,0,90
5,126,0,65.12,2,90
25,321,0,70.23,0,90
22,236,2,87.58,0,90
25,163,2,86.4,0,90
17,429,2,85.27,1,90
17,138,3,61.09,1,90
25,473,3,99.37,1,90
40,158,3,98.66,0,90
33,108,2,87.73,1,90
19,40,3,84.86,1,90
18,270,1,72.65,1,90
8,342,0,97.02,2,90
5,240,1,70.85,1,90
37,490,1,82.41,2,90
10,470,1,88.81,1,90
24,3,1,73.25,1,90
27,61,1,60.09,0,90
5,103,1,81.52,0,90
7,378,2,81.66,2,90
28,474,2,68.95,0,90
14,167,2,84.5,0,90
24,378,0,76.3,2,90
40,243,1,94.56,1,90
3,17,1,94.31,0,90
18,231,3,68.16,2,90
34,265,2,75.82,0,90
26,455,1,72.05,1,90
26,310,2,63.18,0,90
39,37,2,81.89,1,90
32,37,3,78.12,2,90
11,285,1,87.36,0,90
30,518,2,84.35,2,90
26,70,2,69.89,1,90
2,15,0,69.13,1,90
33,109,3,76.91,2,90
19,198,2,68.1,1,90
6,195,2,87.21,2,90
14,69,1,68.92,2,90
21,82,2,81.05,1,90
14,463,2,61.01,2,90
36,492,3,66.88,1,90
31,366,2,64.13,2,90
16,101,1,68.09,2,90
6,370,3,79.98,2,90
40,218,3,93.83,2,90
15,386,0,68.75,1,90
4,339,2,89.64,2,90
3,488,0,66.15,0,90
5,459,1,81.26,1,90
38,390,2,89.0,0,90
14,105,0,78.29,1,90
10,124,2,65.99,1,90
35,102,2,64.79,2,90
39,130,0,68.74,2,90
32,343,0,98.45,0,90
3,474,1,71.71,0,90
5,362,0,82.37,1,90
1,256,1,89.85,0,90
26,137,1,67.7,2,90
37,107,0,69.57,1,90
32,164,2,73.99,1,90
9,63,3,76.45,2,90
10,405,0,85.98,1,90
27,281,3,96.9,1,90
39,39,0,68.26,0,90
13,169,1,74.05,1,90
6,371,3,69.27,0,90
39,504,0,94.32,2,90
8,406,2,64.87,1,90
6,373,0,96.34,2,90
22,264,0,76.09,2,90
8,233,1,60.85,2,90
13,346,3,94.84,1,90
30,482,0,64.05,1,90
6,134,2,97.61,2,90
32,91,0,80.4,2,90
32,29,3,94.56,1,90
2,207,3,79.61,1,90
14,294,3,81.94,1,90
3,102,1,77.95,0,90
33,8,1,67.55,0,90
10,148,1,83.64,2,90
20,426,3,97.38,0,90
16,370,2,64.05,0,90
6,193,0,63.97,0,90
28,347,1,95.25,0,90
8,294,0,99.68,2,90
10,424,3,87.71,1,90
35,317,3,71.54,0,90
32,526,0,75.11,1,90
35,54,0,82.25,1,90
37,266,3,70.8,1,90
28,175,1,80.58,2,90
5,414,1,77.85,2,90
10,27,1,84.21,0,90
25,377,0,83.25,1,90
20,1,0,61.73,2,90
9,299,1,69.8,1,90
32,510,0,81.49,0,90
38,462,3,96.36,1,90
4,69,3,80.69,2,90
40,39,0,93.03,0,90
38,249,1,74.78,0,90
39,328,0,94.98,2,90
32,249,3,85.37,1,90
30,477,3,81.38,1,90
39,447,0,81.79,2,90
17,93,1,66.68,1,90
21,131,0,81.49,2,90
29,136,2,68.47,2,90
24,329,2,64.95,2,90
15,501,0,96.44,2,90
3,286,1,85.15,1,90
39,122,1,65.16,2,90
30,31,1,93.38,2,90
35,389,0,92.75,1,90
16,61,2,73.39,1,90
35,162,3,99.14,2,90
27,480,1,87.26,2,90
35,173,3,88.71,0,90
33,276,3,70.14,1,90
31,199,0,72.36,2,90
2,79,3,76.11,1,90
13,353,2,86.71,2,90
3,264,0,95.24,2,90
11,302,1,66.43,1,90
40,332,1,67.38,1,90
20,314,3,80.07,1,90
18,302,2,81.22,1,90
35,214,3,77.3,1,90
8,81,1,96.91,0,90
31,495,0,98.58,2,90
36,286,2,71.71,2,90
26,381,3,87.53,2,90
17,508,1,93.42,1,90
9,152,3,78.95,1,90
25,429,1,73.73,2,90
23,235,2,85.15,1,90
38,484,2,63.31,0,90
27,287,0,81.42,0,90
8,57,0,91.8,2,90
35,60,1,81.45,0,90
18,270,3,65.94,0,90
31,274,3,84.13,0,90
18,506,0,76.88,1,90
29,311,0,92.67,0,90
8,123,0,94.73,1,90
39,49,0,80.91,1,90
18,30,2,81.8,2,90
28,471,1,81.6,0,90
26,218,3,69.5,2,90
3,26,1,94.51,1,90
18,218,1,99.94,1,90
9,292,1,64.46,1,90
12,130,3,67.79,1,90
21,478,1,95.63,1,90
37,468,3,93.9,1,90
38,161,2,91.64,1,90
8,249,1,89.89,1,90
8,265,3,86.45,1,90
19,121,2,75.13,2,90
33,47,3,90.72,1,90
14,222,2,63.75,0,90
22,103,2,76.75,2,90
32,166,3,65.76,2,90
32,486,1,71.13,1,90
32,363,1,97.93,1,90
16,140,3,83.86,0,90
23,437,0,95.53,0,90
28,285,1,98.71,2,90
5,100,0,90.86,0,90
7,218,2,70.34,1,90
14,54,2,72.36,0,90
2,478,2,74.65,2,90
2,109,2,79.47,1,90
18,38,0,73.56,1,90
20,388,3,69.15,0,90
24,24,2,97.89,2,90
12,478,0,83.48,1,90
15,430,1,81.82,0,90
33,202,3,75.41,0,90
6,287,1,84.88,1,90
16,392,1,96.12,1,90
11,333,1,73.1,0,90
25,427,1,79.53,0,90
7,159,2,85.61,0,90
18,266,0,85.79,0,90
40,204,0,99.33,0,90
6,306,1,97.52,2,90
40,253,1,73.68,0,90
23,67,3,84.94,1,90
15,427,3,71.13,2,90
17,300,2,99.8,0,90
39,119,0,93.81,1,90
38,181,0,90.13,1,90
13,497,1,92.27,1,90
34,486,1,75.79,0,90
19,464,3,88.47,1,90
11,67,1,65.35,1,90
36,314,3,93.13,2,90
34,5,3,92.84,0,90
38,493,1,75.8,0,90
26,217,3,97.7,0,90
16,451,0,95.45,2,90
23,70,0,63.14,0,90
31,24,2,86.17,1,90
3,119,1,84.45,1,90
20,28,1,99.15,2,90
39,302,3,74.13,2,90
13,379,3,88.11,2,90
35,443,1,83.72,1,90
17,379,2,72.25,0,90
27,173,0,76.39,0,90
36,68,0,80.91,2,90
14,228,3,99.24,2,90
8,195,2,83.2,2,90
18,456,0,87.48,0,90
40,208,0,97.02,0,90
25,198,2,78.08,0,90
7,246,0,87.66,1,90
19,365,1,74.08,1,90
15,376,0,79.93,1,90
20,58,0,62.18,1,90
9,261,2,67.54,1,90
25,146,1,61.29,0,90
9,128,1,81.0,2,90
22,349,3,79.63,1,90
37,62,3,85.32,1,90
9,165,2,66.45,1,90
6,385,2,87.1,1,90
28,235,3,88.94,0,90
9,328,1,80.04,2,90
5,94,2,80.91,2,90
21,420,1,70.59,0,90
27,12,1,63.98,1,90
3,501,2,77.05,2,90
35,477,0,92.69,1,90
9,69,1,64.56,0,90
21,368,1,87.02,2,90
25,345,1,73.11,0,90
22,243,3,80.92,1,90
20,134,1,67.05,2,90
11,143,0,93.44,0,90
8,240,2,79.93,1,90
18,53,3,94.56,1,90
1,414,3,66.06,2,90
2,392,0,92.63,0,90
24,6,2,84.17,1,90
17,139,1,63.82,0,90
7,17,3,99.92,2,90
16,146,3,61.03,0,90
22,325,2,83.61,0,90
10,271,3,63.49,2,90
16,121,3,73.83,1,90
10,9,1,84.99,0,90
16,269,1,89.04,1,90
22,326,0,77.88,0,90
40,385,0,80.41,2,90
9,230,2,77.51,1,90
18,206,1,95.78,1,90
7,58,3,76.01,0,90
33,250,0,80.15,0,90
13,250,0,89.35,0,90
30,177,2,93.45,2,90
14,398,3,95.71,1,90
40,226,2,93.73,0,90
33,296,3,62.31,0,90
17,403,1,67.15,2,90
10,272,1,64.85,0,90
32,52,3,79.93,2,90
33,406,1,80.97,0,90
6,148,2,68.39,0,90
30,337,0,97.7,0,90
4,20,0,76.21,1,90
13,285,2,65.39,2,90
26,148,1,61.04,2,90
40,307,2,69.91,1,90
25,213,1,66.81,2,90
13,98,1,69.21,2,90
13,75,3,96.19,1,90
12,355,3,88.78,0,90
22,355,0,72.45,1,90
1,68,0,95.3,0,90
5,20,3,75.27,1,90
32,336,1,80.91,1,90
30,512,0,60.55,1,90
28,509,2,68.46,2,90
8,199,0,75.13,1,90
11,266,1,85.02,0,90
34,275,2,82.69,2,90
3,22,0,64.35,1,90
36,117,2,69.16,0,90
38,106,2,91.97,0,90
16,161,0,72.37,0,90
10,105,1,99.53,1,90
23,371,1,91.42,0,90
35,237,2,89.34,0,90
24,28,2,76.02,1,90
9,93,0,85.3,1,90
27,68,2,74.83,1,90
23,521,2,60.34,2,90
40,393,2,96.7,0,90
26,23,2,64.82,0,90
14,158,1,66.06,0,90
31,162,0,60.74,0,90
11,61,2,77.65,0,90
27,419,0,80.75,0,90
19,113,0,95.35,0,90
27,322,0,91.7,1,90
